gamma,max_depth,learning_rate,n_estimators,min_child_weight,train_acc,train_f1,train_tp,train_fp,train_tn,train_fn,train_precision,train_recall,train_roc_auc,val_acc,val_f1,val_tp,val_fp,val_tn,val_fn,val_precision,val_recall,val_roc_auc
0,3,0.04,800,50,0.715126374686475,0.4629932715039098,1273,198,6140,2755,0.8653976886471788,0.3160377358490566,0.6423987985019974,0.5797579757975797,0.15859030837004406,108,120,1473,1026,0.47368421052631576,0.09523809523809523,0.5099542641915524
0,3,0.04,800,100,0.6942890218020451,0.4008319152958971,1060,201,6137,2968,0.8406026962727994,0.2631578947368421,0.6157222102273671,0.5760909424275761,0.1487481590574374,101,123,1470,1033,0.45089285714285715,0.0890652557319224,0.5059262248527785
0,3,0.04,900,20,0.750723519197376,0.5550964187327824,1612,168,6170,2416,0.9056179775280899,0.4001986097318769,0.6868459126286396,0.577924459112578,0.18657243816254418,132,149,1444,1002,0.4697508896797153,0.1164021164021164,0.5114339521119182
0,3,0.04,900,50,0.727474435655026,0.4979562822107695,1401,198,6140,2627,0.8761726078799249,0.34781529294935454,0.6582875770521465,0.5775577557755776,0.16883116883116883,117,135,1458,1017,0.4642857142857143,0.10317460317460317,0.5092144202313694
0,3,0.04,900,100,0.7030677213968743,0.4312638580931264,1167,217,6121,2861,0.8432080924855492,0.2897219463753724,0.6277420082145085,0.5716905023835717,0.16690442225392296,117,151,1442,1017,0.43656716417910446,0.10317460317460317,0.5041924491077034
0,3,0.07,100,20,0.6333204707698245,0.1272101033295063,277,50,6288,3751,0.8470948012232415,0.06876861966236346,0.5304398478557951,0.5914924825815915,0.05912162162162162,35,15,1578,1099,0.7,0.030864197530864196,0.5107240008369952
0,3,0.07,100,50,0.6239629558170944,0.07674088109900522,162,32,6306,3866,0.8350515463917526,0.04021847070506455,0.5175847796882849,0.5845251191785845,0.022433132010353754,13,12,1581,1121,0.52,0.01146384479717813,0.5019654440558396
0,3,0.07,100,100,0.6183677406907196,0.04628736740597879,96,24,6314,3932,0.8,0.023833167825223437,0.5100232421644262,0.5848918225155849,0.019064124783362217,11,9,1584,1123,0.55,0.009700176366843033,0.5020252294263594
0,3,0.07,200,20,0.6623577078911828,0.2637778712663021,627,99,6239,3401,0.8636363636363636,0.15566037735849056,0.5700201539679799,0.5933259992665934,0.11633466135458168,73,48,1545,1061,0.6033057851239669,0.06437389770723104,0.5171210354826175
0,3,0.07,200,50,0.6542542928805711,0.229247311827957,533,89,6249,3495,0.8569131832797428,0.1323237338629593,0.5591407246152915,0.5837917125045838,0.08097165991902834,50,51,1542,1084,0.49504950495049505,0.04409171075837742,0.5060383224225031
0,3,0.07,200,100,0.6416168242330696,0.18225841954655514,414,101,6237,3614,0.8038834951456311,0.10278053624627606,0.5434224549328572,0.5867253392005867,0.0889248181083266,55,48,1545,1079,0.5339805825242718,0.048500881834215165,0.5091845275461094
