max_depth,criterion,train_acc,train_f1,train_tp,train_fp,train_tn,train_fn,train_precision,train_recall,train_roc_auc,val_acc,val_f1,val_tp,val_fp,val_tn,val_fn,val_precision,val_recall,val_roc_auc
5,entropy,0.6186571483696701,0.03702801461632156,76,1,6337,3952,0.987012987012987,0.018867924528301886,0.5093550730246432,0.5841584158415841,0.005263157894736842,3,3,1590,1131,0.5,0.0026455026455026454,0.5003811317370639
5,log_loss,0.6186571483696701,0.03702801461632156,76,1,6337,3952,0.987012987012987,0.018867924528301886,0.5093550730246432,0.5841584158415841,0.005263157894736842,3,3,1590,1131,0.5,0.0026455026455026454,0.5003811317370639
6,gini,0.6265676249276481,0.07591310575316304,159,2,6336,3869,0.9875776397515528,0.039473684210526314,0.5195790636262477,0.5845251191785845,0.010480349344978166,6,5,1588,1128,0.5454545454545454,0.005291005291005291,0.501076136669357
6,entropy,0.6229982635539263,0.05785920925747348,120,0,6338,3908,1.0,0.029791459781529295,0.5148957298907646,0.5848918225155849,0.007017543859649123,4,2,1591,1130,0.6666666666666666,0.003527336860670194,0.5011359220398768
6,log_loss,0.6229982635539263,0.05785920925747348,120,0,6338,3908,1.0,0.029791459781529295,0.5148957298907646,0.5848918225155849,0.007017543859649123,4,2,1591,1130,0.6666666666666666,0.003527336860670194,0.5011359220398768
7,gini,0.6334169399961412,0.107981220657277,230,2,6336,3798,0.9913793103448276,0.057100297914597815,0.5283923704782835,0.585991932526586,0.022510822510822513,13,8,1585,1121,0.6190476190476191,0.01146384479717813,0.5032209368367561
7,entropy,0.6302334555276866,0.09321031464395553,197,2,6336,3831,0.9899497487437185,0.04890764647467726,0.5242960447583231,0.5848918225155849,0.008756567425569177,5,3,1590,1129,0.625,0.004409171075837742,0.5012629659522315
7,log_loss,0.6302334555276866,0.09321031464395553,197,2,6336,3831,0.9899497487437185,0.04890764647467726,0.5242960447583231,0.5848918225155849,0.008756567425569177,5,3,1590,1129,0.625,0.004409171075837742,0.5012629659522315
8,gini,0.6422921088172873,0.1487603305785124,324,4,6334,3704,0.9878048780487805,0.0804369414101291,0.5399029137470337,0.5856252291895856,0.0156794425087108,9,5,1588,1125,0.6428571428571429,0.007936507936507936,0.5023988879921083
8,entropy,0.6358286706540613,0.11860845201961243,254,1,6337,3774,0.996078431372549,0.06305858987090368,0.5314504056959442,0.5852585258525853,0.015665796344647518,9,6,1587,1125,0.6,0.007936507936507936,0.5020850147968792
8,log_loss,0.6358286706540613,0.11860845201961243,254,1,6337,3774,0.996078431372549,0.06305858987090368,0.5314504056959442,0.5852585258525853,0.015665796344647518,9,6,1587,1125,0.6,0.007936507936507936,0.5020850147968792
9,gini,0.6537719467489871,0.1976302257992399,442,3,6335,3586,0.9932584269662922,0.10973187686196624,0.5546292707124599,0.5867253392005867,0.03261802575107296,19,12,1581,1115,0.6129032258064516,0.01675485008818342,0.5046109467013421
9,entropy,0.6438356164383562,0.15476190476190477,338,2,6336,3690,0.9941176470588236,0.08391261171797418,0.5417985273799717,0.5867253392005867,0.024242424242424242,14,7,1586,1120,0.6666666666666666,0.012345679012345678,0.503975727139569
9,log_loss,0.6438356164383562,0.15476190476190477,338,2,6336,3690,0.9941176470588236,0.08391261171797418,0.5417985273799717,0.5867253392005867,0.024242424242424242,14,7,1586,1120,0.6666666666666666,0.012345679012345678,0.503975727139569
10,gini,0.6756704611229017,0.28528911564625853,671,5,6333,3357,0.992603550295858,0.16658391261171798,0.5828975101083204,0.5837917125045838,0.037319762510602206,22,23,1570,1112,0.4888888888888889,0.019400352733686066,0.502481092876573
10,entropy,0.6564730850858577,0.2095449500554939,472,5,6333,3556,0.989517819706499,0.11717974180734857,0.5581954247061356,0.5867253392005867,0.030954428202923472,18,11,1582,1116,0.6206896551724138,0.015873015873015872,0.5044839027889875
10,log_loss,0.6564730850858577,0.2095449500554939,472,5,6333,3556,0.989517819706499,0.11717974180734857,0.5581954247061356,0.5867253392005867,0.030954428202923472,18,11,1582,1116,0.6206896551724138,0.015873015873015872,0.5044839027889875
11,gini,0.7001736446073702,0.3743961352657005,930,10,6328,3098,0.9893617021276596,0.23088381330685204,0.6146530142583487,0.5845251191785845,0.037383177570093455,22,21,1572,1112,0.5116279069767442,0.019400352733686066,0.5031088392670313
11,entropy,0.6715222843912791,0.27009646302250806,630,7,6331,3398,0.989010989010989,0.1564051638530288,0.5776503572499603,0.5841584158415841,0.02577319587628866,15,15,1578,1119,0.5,0.013227513227513227,0.5019056586853197
11,log_loss,0.6715222843912791,0.27009646302250806,630,7,6331,3398,0.989010989010989,0.1564051638530288,0.5776503572499603,0.5841584158415841,0.02577319587628866,15,15,1578,1119,0.5,0.013227513227513227,0.5019056586853197
12,gini,0.7372178275130233,0.49007862223886184,1309,5,6333,2719,0.9961948249619482,0.32497517378351537,0.6620931406942191,0.5823248991565824,0.030638297872340424,18,23,1570,1116,0.43902439024390244,0.015873015873015872,0.5007174244462379
12,entropy,0.6977619139494501,0.36488951956213256,900,5,6333,3128,0.994475138121547,0.2234359483614697,0.6113235279831962,0.5815914924825816,0.023952095808383235,14,21,1572,1120,0.4,0.012345679012345678,0.4995815024063612
12,log_loss,0.6977619139494501,0.36488951956213256,900,5,6333,3128,0.994475138121547,0.2234359483614697,0.6113235279831962,0.5815914924825816,0.023952095808383235,14,21,1572,1120,0.4,0.012345679012345678,0.4995815024063612
13,gini,0.7657727185027976,0.5704175513092711,1612,12,6326,2416,0.9926108374384236,0.4001986097318769,0.6991526339918457,0.5852585258525853,0.051969823973176864,31,28,1565,1103,0.5254237288135594,0.027336860670194002,0.5048799808686815
13,entropy,0.7213004051707506,0.44217030314732575,1145,6,6332,2883,0.9947871416159861,0.2842601787487587,0.6416567539373329,0.5863586358635864,0.039182282793867124,23,17,1576,1111,0.575,0.020282186948853614,0.5048052491555317
13,log_loss,0.7213004051707506,0.44217030314732575,1145,6,6332,2883,0.9947871416159861,0.2842601787487587,0.6416567539373329,0.5863586358635864,0.039182282793867124,23,17,1576,1111,0.575,0.020282186948853614,0.5048052491555317
14,gini,0.8075438934979742,0.6722523410547068,2046,13,6325,1982,0.9936862554638174,0.5079443892750745,0.7529466345239367,0.5841584158415841,0.045454545454545456,27,27,1566,1107,0.5,0.023809523809523808,0.5034301856335754
